project,target,configuration,hash,code,status,start,end
my-utils,build,,12101315185171398438,0,success,1722164755225,1722164756853
my-utils,build,,12101315185171398438,0,success,1722164945776,1722164947314
my-app,build,,3083208635048510813,0,success,1722164945776,1722164965324
my-utils,build,,12676747098461735762,0,success,1722165084059,1722165085601
my-app,build,,192028452507946436,0,success,1722165085602,1722165096842
my-utils,build,,12676747098461735762,0,local-cache,1722165103286,1722165103319
my-app,build,,192028452507946436,0,local-cache,1722165103322,1722165103426
my-utils,build,,12676747098461735762,0,local-cache,1722165121646,1722165121680
my-app,build,,192028452507946436,0,local-cache,1722165121682,1722165121779
